bed_id,branch,department,bed_type,occupied_date,occupied_flag
B39,Chennai,Emergency,ICU,24-07-2025,1
B40,Bangalore,General Medicine,ICU,03-08-2025,1
B41,Bangalore,General Medicine,General,24-09-2025,1
B42,Coimbatore,Cardiology,General,22-01-2025,0
B43,Coimbatore,General Medicine,General,20-02-2025,1
B44,Bangalore,Cardiology,ICU,30-08-2025,1
B45,Chennai,Orthopedics,General,05-01-2025,1
B46,Chennai,Oncology,ICU,16-09-2025,1
B47,Bangalore,Emergency,ICU,10-08-2025,1
B48,Chennai,Orthopedics,General,24-06-2025,0
B49,Chennai,Cardiology,ICU,27-11-2025,1
B50,Coimbatore,Orthopedics,ICU,19-05-2025,0
B51,Coimbatore,Oncology,General,06-10-2025,1
B52,Chennai,General Medicine,General,16-04-2025,1
B53,Chennai,Cardiology,General,16-05-2025,0
B54,Chennai,Pediatrics,General,30-01-2025,1
B55,Chennai,Orthopedics,ICU,04-06-2025,1
B56,Chennai,Orthopedics,General,27-04-2025,0
B57,Bangalore,Oncology,ICU,19-04-2025,1
B58,Chennai,Oncology,General,13-12-2025,1
B59,Bangalore,Oncology,ICU,08-01-2025,1
B60,Bangalore,Pediatrics,ICU,09-02-2025,1
B61,Chennai,Emergency,ICU,14-09-2025,1
B62,Chennai,Cardiology,ICU,13-03-2025,1
B63,Bangalore,Emergency,General,15-07-2025,0
B64,Chennai,Orthopedics,General,06-08-2025,1
B65,Coimbatore,Oncology,ICU,27-12-2025,1
B66,Coimbatore,Pediatrics,ICU,20-11-2025,1
B67,Bangalore,Emergency,General,26-03-2025,0
B68,Coimbatore,Emergency,General,11-05-2025,1
B69,Coimbatore,Emergency,General,10-06-2025,0
B70,Chennai,Orthopedics,General,18-11-2025,0
B71,Chennai,Pediatrics,General,30-05-2025,0
B72,Bangalore,Oncology,General,15-01-2025,1
B73,Chennai,Emergency,ICU,16-01-2025,1
B74,Coimbatore,Cardiology,General,05-07-2025,1
B75,Chennai,Emergency,ICU,23-07-2025,1
B76,Chennai,Emergency,General,01-01-2025,0
B77,Bangalore,Cardiology,ICU,29-03-2025,0
B78,Chennai,General Medicine,ICU,11-03-2025,1
B79,Bangalore,Oncology,ICU,04-03-2025,0
B80,Bangalore,Emergency,General,08-03-2025,1
B81,Bangalore,Oncology,General,16-09-2025,1
B82,Bangalore,General Medicine,ICU,08-03-2025,1
B83,Coimbatore,General Medicine,ICU,12-04-2025,0
B84,Coimbatore,Oncology,ICU,17-05-2025,1
B85,Chennai,Emergency,ICU,25-09-2025,1
B86,Chennai,Oncology,General,26-12-2025,1
B87,Coimbatore,General Medicine,General,22-08-2025,1
B88,Coimbatore,Orthopedics,ICU,09-03-2025,0
B89,Chennai,Pediatrics,ICU,25-04-2025,0
B90,Chennai,Emergency,General,27-06-2025,1
B91,Coimbatore,Oncology,General,04-01-2025,1
B92,Chennai,Emergency,General,03-01-2025,0
B93,Bangalore,Pediatrics,General,04-02-2025,1
B94,Bangalore,Oncology,ICU,09-03-2025,1
B95,Bangalore,Emergency,General,30-03-2025,1
B96,Coimbatore,Oncology,General,12-08-2025,1
B97,Coimbatore,General Medicine,General,30-01-2025,1
B98,Bangalore,General Medicine,General,15-11-2025,1
B99,Bangalore,Pediatrics,ICU,05-07-2025,1
B100,Chennai,Pediatrics,ICU,01-05-2025,1
B101,Bangalore,Pediatrics,ICU,29-01-2025,1
B102,Coimbatore,Orthopedics,General,16-11-2025,0
B103,Coimbatore,Pediatrics,General,05-06-2025,1
B104,Bangalore,Emergency,General,21-12-2025,0
B105,Bangalore,Cardiology,General,10-11-2025,1
B106,Chennai,Orthopedics,General,29-05-2025,1
B107,Bangalore,Cardiology,ICU,07-05-2025,1
B108,Bangalore,General Medicine,General,01-10-2025,1
B109,Chennai,Pediatrics,ICU,02-03-2025,0
B110,Chennai,Emergency,General,10-04-2025,1
B111,Bangalore,Emergency,ICU,08-05-2025,1
B112,Bangalore,Emergency,ICU,01-06-2025,1
B113,Chennai,Emergency,ICU,04-01-2025,0
B114,Chennai,Oncology,General,15-04-2025,0
B115,Chennai,General Medicine,General,05-01-2025,0
B116,Coimbatore,General Medicine,General,09-09-2025,0
B117,Chennai,Orthopedics,General,24-07-2025,1
B118,Chennai,Cardiology,General,26-01-2025,1
B119,Bangalore,General Medicine,ICU,29-10-2025,0
B120,Coimbatore,Cardiology,General,30-09-2025,0
B121,Coimbatore,Cardiology,General,06-08-2025,0
B122,Coimbatore,General Medicine,General,20-07-2025,0
B123,Coimbatore,Cardiology,ICU,27-08-2025,1
B124,Coimbatore,Pediatrics,General,14-08-2025,1
B125,Coimbatore,Cardiology,General,09-02-2025,1
B126,Bangalore,Cardiology,ICU,09-12-2025,1
B127,Chennai,Oncology,General,02-03-2025,0
B128,Chennai,Oncology,General,12-03-2025,1
B129,Coimbatore,General Medicine,General,02-09-2025,0
B130,Chennai,Cardiology,General,02-06-2025,1
B131,Chennai,Orthopedics,ICU,04-10-2025,1
B132,Chennai,Emergency,General,28-08-2025,1
B133,Bangalore,General Medicine,General,14-01-2025,1
B134,Coimbatore,Oncology,General,07-09-2025,1
B135,Chennai,Orthopedics,General,26-02-2025,1
B136,Chennai,Emergency,General,07-10-2025,0
B137,Bangalore,Emergency,ICU,10-12-2025,0
B138,Bangalore,Pediatrics,ICU,03-05-2025,0
B139,Bangalore,Cardiology,General,17-09-2025,0
B140,Coimbatore,Emergency,General,08-08-2025,1
B141,Bangalore,Emergency,General,06-03-2025,1
B142,Coimbatore,Cardiology,ICU,29-07-2025,0
B143,Chennai,Cardiology,General,10-01-2025,1
B144,Chennai,Pediatrics,General,15-06-2025,0
B145,Bangalore,Pediatrics,ICU,16-03-2025,1
B146,Bangalore,Emergency,ICU,07-05-2025,0
B147,Coimbatore,Orthopedics,ICU,11-04-2025,1
B148,Chennai,Pediatrics,General,28-06-2025,1
B149,Chennai,Cardiology,ICU,11-07-2025,1
B150,Bangalore,Pediatrics,ICU,20-04-2025,1
B151,Chennai,General Medicine,General,01-06-2025,1
B152,Coimbatore,General Medicine,ICU,16-01-2025,1
B153,Coimbatore,Cardiology,ICU,30-03-2025,1
B154,Coimbatore,Oncology,General,24-10-2025,1
B155,Coimbatore,General Medicine,ICU,10-05-2025,1
B156,Coimbatore,Emergency,ICU,16-09-2025,0
B157,Chennai,Orthopedics,General,19-12-2025,0
B158,Bangalore,Oncology,ICU,12-12-2025,1
B159,Coimbatore,Oncology,General,15-10-2025,0
B160,Chennai,Orthopedics,General,27-04-2025,1
B161,Coimbatore,Cardiology,General,08-01-2025,0
B162,Coimbatore,General Medicine,General,09-05-2025,0
B163,Coimbatore,General Medicine,ICU,31-10-2025,1
B164,Coimbatore,Oncology,ICU,19-06-2025,1
B165,Bangalore,Orthopedics,General,25-07-2025,1
B166,Coimbatore,Cardiology,ICU,06-12-2025,1
B167,Bangalore,Pediatrics,ICU,29-08-2025,0
B168,Coimbatore,Oncology,ICU,27-01-2025,1
B169,Coimbatore,Cardiology,General,21-02-2025,1
B170,Coimbatore,Cardiology,General,08-09-2025,0
B171,Chennai,Oncology,ICU,30-04-2025,1
B172,Coimbatore,Cardiology,ICU,16-10-2025,1
B173,Coimbatore,General Medicine,General,13-11-2025,1
B174,Chennai,Oncology,ICU,31-01-2025,0
B175,Chennai,Oncology,General,16-09-2025,0
B176,Coimbatore,Oncology,General,15-06-2025,0
B177,Bangalore,Orthopedics,ICU,22-05-2025,1
B178,Chennai,Pediatrics,General,22-10-2025,1
B179,Coimbatore,Oncology,ICU,12-10-2025,0
B180,Bangalore,Oncology,General,05-10-2025,1
B181,Bangalore,Cardiology,ICU,25-08-2025,1
B182,Chennai,Oncology,General,17-09-2025,1
B183,Coimbatore,Cardiology,General,01-11-2025,1
B184,Coimbatore,Cardiology,General,06-02-2025,1
B185,Coimbatore,General Medicine,ICU,31-01-2025,1
B186,Chennai,Cardiology,General,08-03-2025,1
B187,Chennai,General Medicine,General,14-12-2025,1
B188,Bangalore,Oncology,General,18-04-2025,1
B189,Coimbatore,General Medicine,General,28-12-2025,0
B190,Bangalore,Oncology,ICU,14-10-2025,1
B191,Coimbatore,Emergency,ICU,16-02-2025,0
B192,Coimbatore,Pediatrics,ICU,23-01-2025,1
B193,Coimbatore,General Medicine,General,17-02-2025,1
B194,Coimbatore,Orthopedics,General,15-05-2025,1
B195,Chennai,Oncology,General,14-04-2025,1
B196,Coimbatore,Emergency,ICU,26-03-2025,1
B197,Bangalore,Orthopedics,ICU,06-08-2025,1
B198,Bangalore,Pediatrics,ICU,17-06-2025,1
B199,Bangalore,Pediatrics,General,23-12-2025,1
B200,Coimbatore,Orthopedics,ICU,12-08-2025,1
B201,Chennai,Cardiology,ICU,09-02-2025,1
B202,Bangalore,Pediatrics,ICU,23-04-2025,1
B203,Coimbatore,Emergency,ICU,10-07-2025,1
B204,Coimbatore,General Medicine,ICU,22-11-2025,1
B205,Coimbatore,Pediatrics,General,03-06-2025,0
B206,Bangalore,Oncology,ICU,30-08-2025,0
B207,Chennai,Oncology,ICU,01-10-2025,1
B208,Coimbatore,Emergency,General,22-05-2025,1
B209,Coimbatore,Cardiology,ICU,28-06-2025,1
B210,Coimbatore,Cardiology,ICU,11-06-2025,1
B211,Coimbatore,General Medicine,ICU,19-04-2025,1
B212,Coimbatore,Cardiology,General,18-08-2025,1
B213,Bangalore,Emergency,ICU,21-02-2025,1
B214,Coimbatore,Orthopedics,General,15-07-2025,1
B215,Chennai,Emergency,General,18-03-2025,1
B216,Bangalore,Orthopedics,ICU,16-12-2025,0
B217,Chennai,Pediatrics,ICU,17-03-2025,1
B218,Chennai,Emergency,General,23-08-2025,1
B219,Bangalore,Emergency,General,07-11-2025,1
B220,Coimbatore,Pediatrics,ICU,24-11-2025,0
B221,Chennai,General Medicine,General,10-08-2025,1
B222,Chennai,Orthopedics,General,19-06-2025,1
B223,Coimbatore,Emergency,General,27-02-2025,1
B224,Chennai,Pediatrics,ICU,02-03-2025,1
B225,Bangalore,Emergency,General,28-01-2025,0
B226,Chennai,Orthopedics,General,05-01-2025,1
B227,Chennai,Cardiology,ICU,27-08-2025,0
B228,Coimbatore,Oncology,General,25-10-2025,1
B229,Chennai,Pediatrics,General,16-10-2025,0
B230,Chennai,Orthopedics,ICU,17-04-2025,0
B231,Coimbatore,Orthopedics,General,07-12-2025,1
B232,Chennai,Oncology,ICU,12-02-2025,1
B233,Bangalore,Oncology,General,03-11-2025,0
B234,Chennai,Emergency,General,17-04-2025,1
B235,Coimbatore,Pediatrics,General,26-09-2025,1
B236,Coimbatore,Orthopedics,General,20-11-2025,1
B237,Coimbatore,Cardiology,General,21-03-2025,1
B238,Bangalore,Oncology,General,24-09-2025,0
B239,Bangalore,Orthopedics,General,03-01-2025,1
B240,Bangalore,General Medicine,General,03-08-2025,1
B241,Chennai,Cardiology,General,03-03-2025,1
B242,Coimbatore,Pediatrics,General,09-01-2025,1
B243,Chennai,Cardiology,General,26-12-2025,0
B244,Coimbatore,General Medicine,General,04-09-2025,1
B245,Coimbatore,Orthopedics,ICU,14-12-2025,1
B246,Bangalore,Oncology,General,16-03-2025,1
B247,Coimbatore,General Medicine,General,31-01-2025,1
B248,Bangalore,General Medicine,ICU,09-12-2025,1
B249,Coimbatore,General Medicine,ICU,25-10-2025,1
B250,Coimbatore,Orthopedics,General,26-04-2025,1
B251,Bangalore,Pediatrics,ICU,02-01-2025,1
B252,Chennai,Emergency,ICU,28-01-2025,0
B253,Coimbatore,General Medicine,General,31-05-2025,1
B254,Coimbatore,Orthopedics,ICU,08-01-2025,0
B255,Chennai,General Medicine,ICU,10-02-2025,0
B256,Bangalore,Emergency,ICU,13-03-2025,1
B257,Bangalore,Cardiology,General,14-03-2025,1
B258,Coimbatore,Pediatrics,ICU,27-02-2025,0
B259,Coimbatore,Cardiology,General,24-09-2025,0
B260,Coimbatore,Oncology,General,03-04-2025,0
B261,Coimbatore,Cardiology,General,14-09-2025,1
B262,Chennai,General Medicine,ICU,31-08-2025,1
B263,Chennai,General Medicine,ICU,18-06-2025,0
B264,Coimbatore,Orthopedics,ICU,27-06-2025,0
B265,Bangalore,General Medicine,ICU,12-04-2025,1
B266,Bangalore,Cardiology,ICU,12-05-2025,0
B267,Chennai,Cardiology,ICU,18-11-2025,0
B268,Chennai,Orthopedics,ICU,14-08-2025,1
B269,Coimbatore,General Medicine,General,29-12-2025,1
B270,Chennai,Pediatrics,ICU,31-07-2025,1
B271,Bangalore,Oncology,General,29-01-2025,1
B272,Bangalore,General Medicine,ICU,22-06-2025,0
B273,Coimbatore,Orthopedics,ICU,15-12-2025,1
B274,Chennai,Orthopedics,ICU,10-12-2025,1
B275,Chennai,Cardiology,ICU,07-08-2025,0
B276,Chennai,Orthopedics,General,13-01-2025,0
B277,Coimbatore,Emergency,ICU,06-07-2025,1
B278,Chennai,Cardiology,ICU,11-07-2025,1
B279,Bangalore,Cardiology,General,16-07-2025,1
B280,Chennai,Pediatrics,General,04-04-2025,1
B281,Chennai,General Medicine,General,27-11-2025,1
B282,Bangalore,Cardiology,ICU,01-01-2025,1
B283,Chennai,Orthopedics,ICU,23-12-2025,1
B284,Bangalore,Orthopedics,General,23-10-2025,1
B285,Coimbatore,Oncology,General,20-08-2025,1
B286,Coimbatore,Cardiology,ICU,17-06-2025,1
B287,Chennai,Cardiology,General,10-10-2025,1
B288,Coimbatore,Emergency,General,29-05-2025,1
B289,Bangalore,Pediatrics,ICU,04-01-2025,0
B290,Bangalore,Emergency,ICU,13-05-2025,1
B291,Coimbatore,Orthopedics,General,26-04-2025,1
B292,Coimbatore,Orthopedics,General,11-12-2025,1
B293,Bangalore,Pediatrics,General,31-03-2025,1
B294,Bangalore,Orthopedics,General,27-08-2025,1
B295,Coimbatore,Cardiology,ICU,24-04-2025,1
B296,Bangalore,Orthopedics,ICU,12-08-2025,1
B297,Coimbatore,Cardiology,General,03-05-2025,1
B298,Coimbatore,Orthopedics,ICU,09-03-2025,1
B299,Bangalore,Oncology,ICU,06-05-2025,1
B300,Bangalore,General Medicine,General,21-09-2025,0
B301,Bangalore,Cardiology,General,05-11-2025,1
B302,Chennai,Orthopedics,ICU,12-08-2025,1
B303,Coimbatore,Cardiology,ICU,09-03-2025,0
B304,Bangalore,General Medicine,General,11-12-2025,1
B305,Bangalore,Oncology,ICU,11-03-2025,1
B306,Chennai,Pediatrics,General,09-11-2025,1
B307,Coimbatore,General Medicine,ICU,12-09-2025,1
B308,Bangalore,Cardiology,ICU,21-06-2025,1
B309,Coimbatore,Pediatrics,General,07-10-2025,0
B310,Coimbatore,Pediatrics,ICU,05-08-2025,1
B311,Bangalore,Emergency,ICU,02-03-2025,1
B312,Chennai,Orthopedics,ICU,10-05-2025,0
B313,Bangalore,Orthopedics,General,20-07-2025,0
B314,Chennai,Orthopedics,ICU,01-06-2025,1
B315,Chennai,Pediatrics,ICU,14-08-2025,0
B316,Bangalore,Orthopedics,ICU,07-02-2025,1
B317,Bangalore,Emergency,General,17-01-2025,1
B318,Coimbatore,Pediatrics,ICU,19-05-2025,1
B319,Coimbatore,Pediatrics,General,04-09-2025,1
B320,Bangalore,General Medicine,General,05-03-2025,0
B321,Chennai,General Medicine,ICU,14-02-2025,1
B322,Chennai,General Medicine,General,20-11-2025,1
B323,Bangalore,Oncology,ICU,23-11-2025,0
B324,Coimbatore,Cardiology,General,10-11-2025,1
B325,Bangalore,Oncology,General,19-03-2025,1
B326,Chennai,Oncology,General,15-03-2025,1
B327,Coimbatore,Cardiology,ICU,06-09-2025,1
B328,Chennai,General Medicine,ICU,18-06-2025,1
B329,Coimbatore,General Medicine,ICU,20-01-2025,0
B330,Bangalore,Emergency,ICU,04-03-2025,1
B331,Bangalore,Emergency,ICU,06-10-2025,1
B332,Chennai,General Medicine,ICU,16-05-2025,0
B333,Bangalore,Orthopedics,ICU,23-01-2025,0
B334,Bangalore,Cardiology,General,15-10-2025,1
B335,Bangalore,Pediatrics,ICU,06-08-2025,1
B336,Chennai,General Medicine,General,29-12-2025,1
B337,Coimbatore,Orthopedics,ICU,12-07-2025,1
B338,Bangalore,Oncology,ICU,24-08-2025,0
B339,Chennai,Cardiology,ICU,30-07-2025,1
B340,Bangalore,Pediatrics,General,16-07-2025,1
B341,Chennai,Pediatrics,ICU,06-04-2025,1
B342,Coimbatore,Orthopedics,ICU,31-05-2025,1
B343,Coimbatore,General Medicine,General,27-02-2025,1
B344,Coimbatore,Pediatrics,ICU,09-12-2025,1
B345,Bangalore,Orthopedics,General,02-02-2025,1
B346,Bangalore,General Medicine,ICU,05-02-2025,1
B347,Coimbatore,Cardiology,ICU,23-12-2025,1
B348,Coimbatore,Orthopedics,General,13-03-2025,0
B349,Bangalore,Emergency,ICU,13-08-2025,1
B350,Chennai,Emergency,ICU,27-09-2025,1
B351,Coimbatore,Oncology,ICU,05-08-2025,1
B352,Chennai,Oncology,ICU,26-09-2025,1
B353,Coimbatore,Emergency,General,20-07-2025,0
B354,Bangalore,Emergency,General,18-06-2025,1
B355,Bangalore,Pediatrics,ICU,12-02-2025,1
B356,Bangalore,Pediatrics,General,17-08-2025,1
B357,Coimbatore,General Medicine,General,22-07-2025,0
B358,Bangalore,Oncology,General,20-12-2025,1
B359,Chennai,Oncology,ICU,10-01-2025,1
B360,Bangalore,Oncology,General,26-03-2025,1
B361,Chennai,Pediatrics,General,29-06-2025,0
B362,Coimbatore,Cardiology,General,11-11-2025,0
B363,Chennai,Cardiology,ICU,07-07-2025,1
B364,Chennai,Emergency,General,24-06-2025,1
B365,Coimbatore,General Medicine,General,28-03-2025,1
B366,Chennai,Emergency,ICU,05-07-2025,0
B367,Coimbatore,Pediatrics,ICU,14-08-2025,1
B368,Bangalore,General Medicine,ICU,21-05-2025,0
B369,Bangalore,Emergency,ICU,05-03-2025,1
B370,Bangalore,General Medicine,General,24-08-2025,1
B371,Bangalore,Emergency,ICU,29-05-2025,1
B372,Bangalore,General Medicine,ICU,28-01-2025,1
B373,Coimbatore,General Medicine,General,30-09-2025,0
B374,Coimbatore,Orthopedics,ICU,04-07-2025,1
B375,Bangalore,Cardiology,General,28-06-2025,0
B376,Bangalore,General Medicine,General,13-09-2025,0
B377,Bangalore,Cardiology,General,18-12-2025,1
B378,Chennai,Emergency,ICU,28-10-2025,0
B379,Coimbatore,Orthopedics,ICU,21-06-2025,1
B380,Bangalore,Pediatrics,ICU,11-06-2025,1
B381,Bangalore,General Medicine,ICU,01-06-2025,1
B382,Bangalore,General Medicine,ICU,20-06-2025,1
B383,Chennai,Orthopedics,ICU,14-12-2025,0
B384,Coimbatore,Cardiology,ICU,03-03-2025,1
B385,Chennai,Cardiology,ICU,08-09-2025,0
B386,Coimbatore,Oncology,ICU,03-06-2025,0
B387,Coimbatore,Cardiology,ICU,07-09-2025,1
B388,Coimbatore,Cardiology,ICU,08-12-2025,0
B389,Coimbatore,Pediatrics,General,07-06-2025,0
B390,Bangalore,Oncology,General,01-03-2025,1
B391,Coimbatore,General Medicine,General,12-09-2025,0
B392,Coimbatore,Cardiology,General,03-04-2025,1
B393,Bangalore,Emergency,ICU,21-07-2025,0
B394,Coimbatore,Emergency,General,08-08-2025,1
B395,Coimbatore,Orthopedics,ICU,03-08-2025,1
B396,Chennai,Pediatrics,General,29-08-2025,1
B397,Chennai,Oncology,ICU,17-08-2025,0
B398,Chennai,Orthopedics,General,15-12-2025,1
B399,Chennai,Pediatrics,ICU,15-11-2025,0
B400,Chennai,Orthopedics,General,24-03-2025,1
B401,Coimbatore,Pediatrics,General,14-11-2025,0
B402,Coimbatore,Orthopedics,General,03-02-2025,0
B403,Bangalore,General Medicine,ICU,16-04-2025,0
B404,Chennai,Cardiology,ICU,14-01-2025,1
B405,Coimbatore,General Medicine,General,20-08-2025,1
B406,Chennai,General Medicine,ICU,23-08-2025,1
B407,Coimbatore,Emergency,General,01-08-2025,1
B408,Chennai,Emergency,General,17-08-2025,1
B409,Chennai,General Medicine,ICU,14-04-2025,1
B410,Coimbatore,Orthopedics,ICU,04-06-2025,1
B411,Coimbatore,Oncology,ICU,04-06-2025,1
B412,Chennai,Oncology,General,03-01-2025,1
B413,Chennai,General Medicine,General,13-09-2025,1
B414,Coimbatore,Cardiology,General,26-09-2025,1
B415,Bangalore,General Medicine,General,21-05-2025,0
B416,Coimbatore,Orthopedics,ICU,22-01-2025,1
B417,Chennai,Oncology,General,21-08-2025,0
B418,Chennai,Orthopedics,ICU,21-08-2025,1
B419,Coimbatore,Oncology,General,11-08-2025,1
B420,Coimbatore,Orthopedics,ICU,20-04-2025,0
B421,Coimbatore,General Medicine,General,08-01-2025,1
B422,Coimbatore,Pediatrics,ICU,05-04-2025,1
B423,Bangalore,Cardiology,ICU,18-03-2025,1
B424,Coimbatore,Emergency,General,30-01-2025,1
B425,Coimbatore,Orthopedics,General,15-02-2025,0
B426,Coimbatore,Cardiology,General,05-06-2025,0
B427,Bangalore,Oncology,General,19-12-2025,0
B428,Bangalore,Cardiology,General,15-05-2025,1
B429,Bangalore,Oncology,ICU,27-03-2025,0
B430,Coimbatore,Pediatrics,General,19-01-2025,0
B431,Coimbatore,General Medicine,ICU,07-06-2025,0
B432,Bangalore,Emergency,ICU,26-06-2025,0
B433,Bangalore,Oncology,General,17-06-2025,0
B434,Coimbatore,General Medicine,General,12-09-2025,1
B435,Bangalore,General Medicine,General,24-06-2025,1
B436,Chennai,Emergency,General,17-04-2025,0
B437,Bangalore,Oncology,ICU,10-07-2025,0
B438,Coimbatore,Oncology,General,28-01-2025,0
B439,Bangalore,Oncology,General,29-01-2025,0
B440,Chennai,Pediatrics,General,26-04-2025,0
B441,Bangalore,Cardiology,General,10-04-2025,1
B442,Chennai,Oncology,ICU,25-04-2025,1
B443,Chennai,Cardiology,ICU,13-04-2025,1
B444,Chennai,Orthopedics,General,10-09-2025,1
B445,Coimbatore,Cardiology,General,11-03-2025,1
B446,Coimbatore,Oncology,General,07-09-2025,1
B447,Chennai,Emergency,General,11-07-2025,1
B448,Coimbatore,Oncology,ICU,26-08-2025,1
B449,Coimbatore,Pediatrics,General,06-12-2025,1
B450,Chennai,Orthopedics,General,16-01-2025,1
B451,Chennai,Oncology,General,17-03-2025,1
B452,Coimbatore,Emergency,ICU,30-06-2025,0
B453,Bangalore,Cardiology,General,07-06-2025,1
B454,Chennai,General Medicine,General,06-08-2025,1
B455,Bangalore,Emergency,General,24-12-2025,0
B456,Bangalore,Cardiology,ICU,18-06-2025,0
B457,Bangalore,Orthopedics,General,17-04-2025,1
B458,Chennai,Orthopedics,General,19-07-2025,1
B459,Coimbatore,Emergency,General,05-06-2025,1
B460,Bangalore,General Medicine,ICU,03-07-2025,1
B461,Bangalore,Emergency,ICU,13-09-2025,0
B462,Bangalore,Cardiology,General,23-06-2025,1
B463,Chennai,Oncology,ICU,02-09-2025,1
B464,Coimbatore,Orthopedics,ICU,24-05-2025,1
B465,Bangalore,Pediatrics,ICU,20-07-2025,0
B466,Coimbatore,Emergency,General,30-07-2025,1
B467,Chennai,Cardiology,General,21-07-2025,0
B468,Coimbatore,Emergency,General,28-08-2025,1
B469,Chennai,Emergency,ICU,06-05-2025,0
B470,Coimbatore,Orthopedics,ICU,10-07-2025,0
B471,Coimbatore,Emergency,ICU,02-09-2025,1
B472,Chennai,Emergency,General,05-06-2025,1
B473,Coimbatore,Orthopedics,General,11-09-2025,0
B474,Bangalore,Orthopedics,General,05-06-2025,0
B475,Bangalore,Pediatrics,General,24-02-2025,1
B476,Chennai,Cardiology,General,09-05-2025,0
B477,Bangalore,Emergency,General,19-11-2025,1
B478,Coimbatore,Pediatrics,ICU,03-03-2025,0
B479,Chennai,General Medicine,General,08-02-2025,0
B480,Coimbatore,General Medicine,General,01-09-2025,1
B481,Coimbatore,General Medicine,ICU,20-04-2025,0
B482,Chennai,Orthopedics,ICU,14-03-2025,1
B483,Coimbatore,Emergency,ICU,15-01-2025,1
B484,Coimbatore,Emergency,ICU,25-05-2025,1
B485,Coimbatore,Pediatrics,ICU,22-03-2025,1
B486,Chennai,Emergency,ICU,27-08-2025,0
B487,Bangalore,Orthopedics,General,04-04-2025,0
B488,Bangalore,Pediatrics,ICU,12-09-2025,1
B489,Coimbatore,Emergency,General,02-05-2025,0
B490,Bangalore,Oncology,ICU,01-01-2025,1
B491,Chennai,Pediatrics,ICU,20-03-2025,1
B492,Coimbatore,Pediatrics,General,10-05-2025,0
B493,Chennai,Emergency,General,27-03-2025,1
B494,Coimbatore,Cardiology,General,25-05-2025,1
B495,Coimbatore,General Medicine,General,05-05-2025,1
B496,Bangalore,Pediatrics,General,17-11-2025,1
B497,Coimbatore,Oncology,ICU,18-08-2025,0
B498,Coimbatore,Orthopedics,General,11-09-2025,1
B499,Chennai,Emergency,ICU,16-03-2025,1
B500,Coimbatore,Emergency,ICU,21-07-2025,0
B501,Bangalore,Emergency,General,10-10-2025,0
B502,Chennai,Emergency,General,18-11-2025,0
B503,Coimbatore,Orthopedics,General,09-12-2025,1
B504,Coimbatore,Emergency,ICU,05-10-2025,0
B505,Coimbatore,Pediatrics,ICU,28-06-2025,1
B506,Bangalore,General Medicine,General,01-07-2025,1
B507,Chennai,Emergency,General,24-10-2025,1
B508,Bangalore,Emergency,General,23-06-2025,1
B509,Coimbatore,Emergency,General,12-06-2025,1
B510,Chennai,General Medicine,ICU,02-08-2025,1
B511,Coimbatore,Oncology,ICU,17-09-2025,1
B512,Coimbatore,Emergency,ICU,27-05-2025,1
B513,Bangalore,Cardiology,General,02-01-2025,1
B514,Coimbatore,Cardiology,ICU,07-05-2025,0
B515,Bangalore,General Medicine,ICU,23-10-2025,0
B516,Coimbatore,Oncology,General,12-01-2025,0
