doctor_id,date,hours_scheduled,hours_utilized
D53,05-03-2025,8,6.9
D37,31-07-2025,8,6.4
D84,04-04-2025,8,3.4
D38,14-12-2025,8,6.6
D75,08-05-2025,8,5.8
D10,07-02-2025,8,5.5
D32,31-07-2025,8,3.3
D132,01-06-2025,8,7
D10,29-12-2025,8,6.5
D96,18-01-2025,8,5.4
D126,02-09-2025,8,3.8
D111,23-03-2025,8,4.5
D33,15-03-2025,8,7.6
D72,09-06-2025,8,7.8
D17,30-03-2025,8,6.8
D6,25-03-2025,8,5.5
D72,19-04-2025,8,7.8
D29,30-09-2025,8,7.1
D63,23-03-2025,8,4.4
D79,12-12-2025,8,6.4
D131,21-12-2025,8,3.2
D40,09-03-2025,8,3.8
D20,28-09-2025,8,6.7
D39,23-10-2025,8,4.1
D96,22-12-2025,8,3.8
D37,01-02-2025,8,6.3
D36,20-12-2025,8,5.4
D108,06-04-2025,8,6.2
D102,05-10-2025,8,3.6
D7,28-12-2025,8,4
D21,28-01-2025,8,3.2
D17,17-11-2025,8,5.4
D58,03-10-2025,8,6.3
D6,23-01-2025,8,4.8
D5,15-02-2025,8,6.5
D27,15-07-2025,8,6.9
D113,01-05-2025,8,5.2
D150,06-03-2025,8,5.6
D28,23-03-2025,8,6.1
D102,14-01-2025,8,6.6
D58,13-02-2025,8,5.2
D44,14-03-2025,8,3.6
D5,31-03-2025,8,7.6
D78,09-09-2025,8,4.6
D99,16-02-2025,8,5.2
D116,20-03-2025,8,6.1
D8,23-01-2025,8,6.5
D31,19-06-2025,8,6.1
D22,06-05-2025,8,5.5
D74,22-01-2025,8,7.6
D47,20-09-2025,8,3.9
D136,09-09-2025,8,5.3
D46,30-08-2025,8,5.8
D23,02-03-2025,8,3.2
D46,26-10-2025,8,3.3
D148,16-09-2025,8,6.2
D35,27-05-2025,8,6.5
D76,13-03-2025,8,5.2
D101,01-11-2025,8,6.2
D105,25-08-2025,8,4.6
D104,23-11-2025,8,3.5
D68,30-11-2025,8,5.8
D95,14-12-2025,8,3.4
D34,12-08-2025,8,7.9
D53,08-08-2025,8,7.4
D53,27-04-2025,8,4.4
D75,11-02-2025,8,4.8
D137,18-10-2025,8,6.3
D87,19-12-2025,8,6.3
D5,09-08-2025,8,6.3
D38,16-09-2025,8,5.9
D13,11-08-2025,8,7.4
D87,16-09-2025,8,5.1
D66,14-07-2025,8,5.6
D73,15-07-2025,8,6
D52,19-02-2025,8,3.7
D39,21-02-2025,8,5.4
D60,04-08-2025,8,3.1
D110,06-12-2025,8,3.7
D85,02-01-2025,8,5.3
D9,16-06-2025,8,8
D58,12-02-2025,8,7.2
D48,06-05-2025,8,7.4
D145,08-05-2025,8,4.6
D107,13-07-2025,8,6.8
D132,23-12-2025,8,3.8
D28,10-08-2025,8,4.5
D66,14-07-2025,8,7.2
D106,25-12-2025,8,5.1
D79,08-03-2025,8,5.6
D40,10-04-2025,8,4.1
D119,14-06-2025,8,4.7
D145,14-11-2025,8,7.3
D76,14-10-2025,8,5.8
D93,18-08-2025,8,6.9
D41,05-10-2025,8,3.8
D127,20-06-2025,8,7.5
D32,14-02-2025,8,3.2
D20,27-08-2025,8,3.6
D89,20-07-2025,8,3.6
D130,03-06-2025,8,6.4
D44,03-06-2025,8,6.6
D83,27-04-2025,8,6.9
D70,04-02-2025,8,3.6
D14,25-01-2025,8,6.6
D101,27-12-2025,8,3
D146,27-06-2025,8,4.1
D130,06-10-2025,8,7
D13,05-08-2025,8,4
D27,06-08-2025,8,3.7
D142,21-11-2025,8,6.2
D55,10-07-2025,8,6.2
D45,12-05-2025,8,4.2
D66,06-10-2025,8,3.1
D145,06-01-2025,8,7.4
D123,16-06-2025,8,5.7
D34,26-08-2025,8,5.3
D82,04-04-2025,8,7.8
D87,12-10-2025,8,7.4
D63,07-03-2025,8,7.3
D145,20-06-2025,8,4.1
D68,03-02-2025,8,5.2
D134,29-09-2025,8,4.7
D116,17-03-2025,8,4.7
D28,04-02-2025,8,7.3
D68,01-11-2025,8,7.1
D37,02-06-2025,8,5.8
D115,10-02-2025,8,5.6
D142,15-09-2025,8,4.6
D48,07-11-2025,8,7.1
D1,23-08-2025,8,4.5
D103,17-10-2025,8,4.7
D112,29-10-2025,8,7
D147,09-04-2025,8,3.1
D57,03-11-2025,8,4.7
D68,12-11-2025,8,3.9
D29,12-07-2025,8,5.4
D132,31-07-2025,8,4.2
D44,17-06-2025,8,7
D81,15-03-2025,8,3.5
D16,09-03-2025,8,7.7
D42,20-04-2025,8,6.7
D6,27-11-2025,8,7.1
D105,04-07-2025,8,4.2
D100,31-03-2025,8,5.8
D81,25-04-2025,8,7.1
D56,28-06-2025,8,7.4
D4,01-10-2025,8,4.8
D35,30-01-2025,8,3.3
D63,23-03-2025,8,7.9
D69,18-06-2025,8,6.7
D56,01-12-2025,8,6.5
D149,14-08-2025,8,7.7
D109,05-04-2025,8,3.5
D48,11-03-2025,8,6.7
D83,04-12-2025,8,3.1
D75,01-08-2025,8,4.2
D89,05-03-2025,8,6.1
D90,07-11-2025,8,4.3
D69,01-04-2025,8,5.6
D12,27-05-2025,8,4.5
D3,28-03-2025,8,3.7
D88,05-11-2025,8,4.4
D4,26-02-2025,8,3.9
D28,16-01-2025,8,5.4
D53,31-10-2025,8,7.6
D66,07-06-2025,8,5
D94,24-09-2025,8,6
D91,17-12-2025,8,4.5
D129,22-04-2025,8,7.9
D80,24-03-2025,8,8
D131,11-01-2025,8,3.3
D103,02-02-2025,8,6.3
D88,17-01-2025,8,5.4
D43,10-09-2025,8,4.5
D5,27-06-2025,8,4.1
D57,08-08-2025,8,6.4
D72,01-12-2025,8,3.2
D36,10-06-2025,8,6.9
D115,12-03-2025,8,6
D135,27-12-2025,8,7.4
D24,14-02-2025,8,4.3
D117,13-10-2025,8,7
D148,07-12-2025,8,5
D114,18-12-2025,8,5.5
D67,31-01-2025,8,4.5
D54,10-01-2025,8,6.8
D29,02-06-2025,8,3.1
D115,28-10-2025,8,6.3
D146,16-03-2025,8,4.9
D52,09-07-2025,8,3.1
D84,31-08-2025,8,7.3
D99,21-01-2025,8,4.4
D53,28-03-2025,8,3.3
D86,18-12-2025,8,3.7
D113,12-03-2025,8,7.7
D34,12-09-2025,8,6.7
D32,14-09-2025,8,4.6
D20,29-07-2025,8,3.3
D72,11-06-2025,8,7.4
D107,26-10-2025,8,5.5
D19,12-07-2025,8,7.7
D3,22-02-2025,8,6.3
D48,06-11-2025,8,5
D92,24-05-2025,8,7.5
D51,18-01-2025,8,5
D6,30-11-2025,8,5.5
D80,29-03-2025,8,7.7
D64,27-09-2025,8,6.9
D77,26-09-2025,8,5.5
D6,01-05-2025,8,4.2
D57,05-11-2025,8,6.2
D132,17-10-2025,8,4.2
D42,19-03-2025,8,6
D145,13-10-2025,8,6.5
D7,23-01-2025,8,3.3
D148,26-04-2025,8,4.8
D25,25-04-2025,8,3.7
D27,04-06-2025,8,5
D14,31-10-2025,8,4.3
D92,28-09-2025,8,5
D51,06-11-2025,8,4.5
D75,28-01-2025,8,7.1
D128,11-03-2025,8,6.9
D96,13-04-2025,8,7.8
D87,27-12-2025,8,7.5
D45,12-09-2025,8,7.7
D71,26-09-2025,8,6.7
D125,08-04-2025,8,5.3
D89,09-09-2025,8,5.7
D73,22-11-2025,8,7.6
D39,10-10-2025,8,7.5
D31,11-05-2025,8,7.7
D70,24-09-2025,8,5.9
D112,12-02-2025,8,5
D93,12-09-2025,8,6.5
D3,12-12-2025,8,6.5
D85,29-05-2025,8,3.1
D105,07-09-2025,8,7.4
D46,20-10-2025,8,3.8
D109,29-03-2025,8,4
D11,03-04-2025,8,5.8
D126,18-08-2025,8,3.3
D62,28-08-2025,8,7.9
D90,12-01-2025,8,4.1
D74,29-12-2025,8,6.1
D116,12-02-2025,8,7.3
D39,31-01-2025,8,5.6
D103,19-12-2025,8,7.3
D97,02-01-2025,8,6.4
D36,07-11-2025,8,7.7
D69,02-12-2025,8,7.7
D117,14-04-2025,8,4.2
D7,21-10-2025,8,5.5
D86,08-12-2025,8,3.7
D97,22-06-2025,8,5.2
D1,21-07-2025,8,6.3
D135,11-03-2025,8,6.4
D73,07-06-2025,8,7.2
D73,24-02-2025,8,3.2
D46,19-12-2025,8,4.4
D137,03-08-2025,8,3.5
D144,25-01-2025,8,4.8
D77,23-06-2025,8,3.5
D58,30-11-2025,8,6.4
D145,02-05-2025,8,6.2
D101,04-04-2025,8,3.1
D142,24-09-2025,8,4.6
D131,01-01-2025,8,7.6
D73,28-11-2025,8,7.1
D94,24-11-2025,8,3
D138,24-12-2025,8,3.1
D22,24-05-2025,8,3.4
D75,27-09-2025,8,7.1
D148,04-09-2025,8,4.4
D11,16-02-2025,8,7.1
D111,28-10-2025,8,5.3
D118,06-10-2025,8,7.8
D76,24-06-2025,8,4
D84,02-12-2025,8,7.5
D66,29-09-2025,8,6.5
D102,23-04-2025,8,6.3
D149,04-12-2025,8,3.6
D110,20-12-2025,8,6.3
D66,19-04-2025,8,7
D86,25-03-2025,8,6.8
D4,20-01-2025,8,3.6
D14,11-08-2025,8,5.1
D48,07-06-2025,8,6
D42,29-01-2025,8,6.1
D141,12-09-2025,8,6.6
D142,14-05-2025,8,7.8
D112,07-12-2025,8,4.1
D108,05-01-2025,8,7.6
D10,27-08-2025,8,7
D35,31-01-2025,8,4.4
D139,09-01-2025,8,4.8
D116,10-08-2025,8,4.9
D53,06-03-2025,8,5.2
D46,01-05-2025,8,3.1
D33,29-06-2025,8,6.2
D98,20-04-2025,8,3.7
D150,05-05-2025,8,3.7
D137,06-02-2025,8,7.7
D150,12-11-2025,8,6.6
D6,27-01-2025,8,3.7
D143,16-11-2025,8,7.5
D3,23-09-2025,8,4.7
D89,07-12-2025,8,5.1
D137,15-10-2025,8,6.3
D109,20-05-2025,8,7.3
D103,14-08-2025,8,3.1
D148,14-07-2025,8,3.4
D147,12-05-2025,8,3.5
D22,13-07-2025,8,5.8
D11,30-06-2025,8,3.1
D29,20-01-2025,8,6.7
D34,20-05-2025,8,5.1
D6,03-09-2025,8,6.2
D25,13-01-2025,8,3.2
D3,24-01-2025,8,4.9
D120,03-05-2025,8,6.7
D1,03-01-2025,8,3.2
D50,28-05-2025,8,6.5
D143,06-07-2025,8,5.7
D124,06-02-2025,8,4
D103,20-08-2025,8,7.2
D17,08-06-2025,8,4.6
D26,05-10-2025,8,6.4
D64,12-06-2025,8,7.2
D82,04-06-2025,8,4.5
D139,18-09-2025,8,7
D57,05-08-2025,8,3.4
D74,26-03-2025,8,6.2
D72,09-05-2025,8,6
D49,25-12-2025,8,4.6
D53,22-09-2025,8,4.4
D133,25-02-2025,8,7.9
D5,10-03-2025,8,4.6
D73,08-04-2025,8,3.5
D15,06-03-2025,8,4
D111,19-09-2025,8,4.1
D140,29-11-2025,8,7
D113,29-11-2025,8,7.1
D95,13-11-2025,8,6.3
D34,27-07-2025,8,4.8
D103,08-01-2025,8,4
D143,18-09-2025,8,3
D137,04-07-2025,8,5.1
D101,27-05-2025,8,6.8
D46,14-04-2025,8,3.2
D118,05-01-2025,8,6.1
D55,19-01-2025,8,5.9
D117,19-06-2025,8,5.6
D39,27-07-2025,8,7.4
D27,28-11-2025,8,4.3
D122,28-03-2025,8,7.1
D11,23-03-2025,8,3.7
D85,09-11-2025,8,7.5
D37,27-06-2025,8,5
D145,10-06-2025,8,3.5
D141,03-01-2025,8,7.1
D59,25-08-2025,8,6.6
D65,09-06-2025,8,4.3
D66,28-02-2025,8,5.8
D121,29-04-2025,8,5.1
D5,21-11-2025,8,7.4
D120,22-05-2025,8,6.2
D68,24-04-2025,8,7.6
D143,20-09-2025,8,5.4
D105,13-10-2025,8,3.1
D20,24-03-2025,8,3.3
D29,24-12-2025,8,6.5
D31,27-11-2025,8,6
D80,27-02-2025,8,3.3
D123,10-07-2025,8,5.6
D37,10-11-2025,8,4.5
D37,06-01-2025,8,5.8
D62,13-08-2025,8,6.6
D78,09-02-2025,8,6.9
D42,18-01-2025,8,6.6
D34,14-11-2025,8,5.6
D71,06-10-2025,8,6.5
D53,04-10-2025,8,6.1
D57,13-12-2025,8,7.8
D10,13-03-2025,8,5
D121,08-12-2025,8,4.3
D9,04-07-2025,8,5.3
D120,23-10-2025,8,6.2
D64,16-12-2025,8,3.3
D25,05-06-2025,8,7.8
D139,21-01-2025,8,6.5
D146,09-03-2025,8,6.7
D15,06-10-2025,8,6.5
D112,21-02-2025,8,7.5
D115,07-06-2025,8,3.8
D8,21-12-2025,8,7.8
D121,31-03-2025,8,4.2
D139,11-09-2025,8,7.6
D31,11-06-2025,8,3.5
D67,27-04-2025,8,7.4
D5,29-11-2025,8,7.2
D65,04-11-2025,8,4.5
D83,03-04-2025,8,3.9
D50,22-10-2025,8,3.2
D80,17-01-2025,8,6.2
D43,01-11-2025,8,7
D67,22-04-2025,8,4.6
D143,12-05-2025,8,6.6
D120,26-07-2025,8,4.4
D31,23-09-2025,8,5.9
D24,22-10-2025,8,4.6
D76,19-02-2025,8,4.9
D100,22-03-2025,8,4.1
D37,24-03-2025,8,4.5
D31,12-07-2025,8,4.9
D93,30-03-2025,8,6.7
D118,16-02-2025,8,3.4
D3,18-01-2025,8,6.5
D81,02-06-2025,8,3.3
D43,08-03-2025,8,4.5
D111,21-07-2025,8,4.4
D83,20-03-2025,8,4.9
D122,14-06-2025,8,7.5
D32,04-07-2025,8,3.4
D123,28-03-2025,8,4.2
D70,07-10-2025,8,7.1
D143,20-12-2025,8,4.7
D27,11-12-2025,8,5.1
D121,22-10-2025,8,4
D85,09-01-2025,8,5.5
D4,04-01-2025,8,3.2
D15,31-12-2025,8,4.5
D63,30-12-2025,8,3.6
D23,21-04-2025,8,4.6
D41,09-10-2025,8,7.7
D144,15-10-2025,8,4
D82,31-12-2025,8,3.7
D3,14-11-2025,8,4.3
D10,18-08-2025,8,6.5
D142,16-05-2025,8,6.2
D143,20-04-2025,8,4.7
D70,23-02-2025,8,3.7
D147,09-02-2025,8,3.1
D74,26-10-2025,8,3.6
D142,16-11-2025,8,6.1
D126,27-02-2025,8,4.4
D29,03-06-2025,8,3.3
D67,12-06-2025,8,3.6
D114,30-11-2025,8,5.7
D42,13-01-2025,8,3.8
D32,30-05-2025,8,7.6
D57,25-01-2025,8,3.1
D76,05-12-2025,8,6.8
D13,05-10-2025,8,6.4
D23,14-01-2025,8,7.3
D111,21-02-2025,8,4
D41,13-06-2025,8,4.1
D138,09-04-2025,8,4.2
D60,30-01-2025,8,3
D5,04-09-2025,8,3.4
D43,29-06-2025,8,5.1
D6,17-08-2025,8,7.8
D88,12-01-2025,8,7.1
D78,07-01-2025,8,6.6
D73,30-11-2025,8,4.7
D25,05-11-2025,8,4.2
D82,11-08-2025,8,4.9
D134,28-11-2025,8,3.5
D35,02-07-2025,8,5.1
D93,16-07-2025,8,5.2
D96,18-01-2025,8,8
D126,29-11-2025,8,5.3
D20,18-07-2025,8,5.4
D18,13-03-2025,8,7.1
D66,21-12-2025,8,5.9
D5,21-03-2025,8,3.7
D147,27-07-2025,8,3.1
D130,20-06-2025,8,5.5
D33,24-01-2025,8,5.6
D46,01-10-2025,8,4.3
D8,26-03-2025,8,7.1
D5,26-09-2025,8,7.4
D90,10-03-2025,8,7.3
D130,21-11-2025,8,4.7
D143,15-08-2025,8,6.1
D65,15-06-2025,8,7
D80,22-06-2025,8,4.5
D127,05-09-2025,8,3.9
D122,16-09-2025,8,6
D47,16-03-2025,8,4
D6,18-08-2025,8,3.6
D95,13-11-2025,8,5.5
D114,30-10-2025,8,7.6
D31,12-04-2025,8,3.7
D91,07-09-2025,8,3.8
D110,17-12-2025,8,6
D89,20-10-2025,8,6.9
D29,08-06-2025,8,3.4
D130,05-09-2025,8,4.3
D91,25-02-2025,8,5
D71,14-06-2025,8,3.8
D29,21-03-2025,8,7
D102,18-06-2025,8,5.2
D112,28-07-2025,8,4.6
D8,04-09-2025,8,3.8
D9,18-07-2025,8,5.6
D129,29-10-2025,8,3.6
D104,27-11-2025,8,4.9
D88,24-03-2025,8,7.8
D39,18-11-2025,8,5
D75,11-04-2025,8,3.9
D119,15-10-2025,8,5
D43,16-05-2025,8,4.8
D139,05-06-2025,8,7.1
D26,24-11-2025,8,4.4
D32,15-02-2025,8,4.8
D135,04-02-2025,8,6.2
D150,16-09-2025,8,5.3
D8,17-09-2025,8,7.5
D120,17-03-2025,8,3
D112,01-08-2025,8,7.9
D52,23-02-2025,8,7.1
D93,18-08-2025,8,6.2
D141,15-10-2025,8,3.1
D66,23-03-2025,8,6.4
D78,23-02-2025,8,5
D73,01-08-2025,8,3.2
D14,07-08-2025,8,7.4
D146,02-07-2025,8,5.4
D72,24-08-2025,8,5.6
D77,14-03-2025,8,7.6
D38,11-09-2025,8,3.9
D86,23-12-2025,8,6.5
D31,24-07-2025,8,3.2
D40,25-11-2025,8,6.7
D130,23-03-2025,8,3.1
D32,29-03-2025,8,5.4
D89,11-12-2025,8,6.6
D54,06-04-2025,8,4.4
D114,24-01-2025,8,4
D97,24-02-2025,8,5.1
D46,07-08-2025,8,3.1
D30,24-08-2025,8,3.9
D92,06-04-2025,8,5.4
D106,23-08-2025,8,6.9
D140,19-11-2025,8,7.6
D10,08-12-2025,8,4.7
D11,16-01-2025,8,7.7
D80,19-06-2025,8,6.9
D42,10-01-2025,8,6.4
D49,22-09-2025,8,6.1
D2,09-03-2025,8,6.8
D139,06-02-2025,8,6
D22,29-06-2025,8,4
D133,09-04-2025,8,7.6
D147,25-12-2025,8,7.2
D87,15-02-2025,8,7.1
D50,09-10-2025,8,7.7
D111,27-04-2025,8,3.7
D26,08-07-2025,8,5.2
D87,26-01-2025,8,7.6
D31,06-05-2025,8,6.7
D31,13-11-2025,8,7.5
D45,12-11-2025,8,4.4
D52,21-02-2025,8,7
D62,19-11-2025,8,7.9
D88,13-02-2025,8,7.9
D22,10-05-2025,8,4.2
D94,13-02-2025,8,3.8
D65,03-09-2025,8,5.4
D71,16-07-2025,8,6.5
D74,25-01-2025,8,6.2
D57,11-08-2025,8,7.7
D75,18-05-2025,8,6.6
D41,30-10-2025,8,5.7
D78,05-11-2025,8,5.2
D28,12-06-2025,8,3.8
D61,24-02-2025,8,7.1
D49,12-04-2025,8,5.5
D132,20-06-2025,8,4.1
D49,01-03-2025,8,6.8
D31,30-07-2025,8,3.8
D85,09-06-2025,8,5.5
D44,07-06-2025,8,7.1
D56,31-05-2025,8,4.6
D54,11-08-2025,8,4.3
D53,02-09-2025,8,7.8
D86,17-12-2025,8,7.4
D138,19-10-2025,8,4.6
D43,28-08-2025,8,5.9
D132,04-05-2025,8,6.3
D141,04-05-2025,8,3.6
D102,19-08-2025,8,7.2
D9,23-09-2025,8,3.3
D65,22-04-2025,8,7.5
D74,23-02-2025,8,6.4
D89,05-04-2025,8,3.1
D61,15-06-2025,8,4.9
D128,06-03-2025,8,5.4
D115,07-08-2025,8,3
D43,07-07-2025,8,6.1
D11,11-06-2025,8,6.6
D21,08-05-2025,8,6.6
D87,16-04-2025,8,7.4
D119,19-02-2025,8,4.3
D10,19-03-2025,8,6.4
D56,28-04-2025,8,3.8
D37,18-06-2025,8,5.4
D48,30-05-2025,8,5.5
D61,27-11-2025,8,6.4
D115,21-12-2025,8,4.8
D37,05-01-2025,8,6.6
D17,31-03-2025,8,7.5
D20,25-12-2025,8,4.2
D144,07-01-2025,8,5.2
D12,23-10-2025,8,3.9
D131,21-09-2025,8,7.9
D75,07-12-2025,8,6.7
D26,07-12-2025,8,4.5
D101,31-08-2025,8,4.4
D119,16-02-2025,8,5.4
D92,27-01-2025,8,6.7
D139,16-06-2025,8,3.7
D47,21-07-2025,8,3.1
D129,14-01-2025,8,7.3
D121,22-06-2025,8,6.1
D122,03-07-2025,8,4.5
D37,04-12-2025,8,3.7
D39,14-12-2025,8,7.9
D18,20-05-2025,8,7.4
D5,20-09-2025,8,4.6
D146,21-10-2025,8,7.5
D59,21-02-2025,8,3.6
D145,17-04-2025,8,6.4
D2,08-10-2025,8,8
D25,04-01-2025,8,4.7
D106,27-01-2025,8,7.5
D129,13-02-2025,8,3.1
D65,11-01-2025,8,7.3
D121,29-11-2025,8,7.4
D57,26-11-2025,8,5.6
D11,01-05-2025,8,4.4
D125,28-05-2025,8,6.8
D10,23-02-2025,8,6.2
D129,27-02-2025,8,4.6
D147,17-03-2025,8,4.1
D81,05-07-2025,8,6
D127,20-03-2025,8,5
D14,29-04-2025,8,4.2
D66,03-09-2025,8,5.9
D60,20-08-2025,8,3.2
D127,17-07-2025,8,5.7
D83,15-03-2025,8,6.9
D26,31-08-2025,8,3.6
D67,29-06-2025,8,7.3
D114,23-09-2025,8,4.9
D77,12-04-2025,8,8
D49,11-09-2025,8,3.9
D72,16-07-2025,8,7.2
D102,26-10-2025,8,5.3
D101,06-06-2025,8,4.1
D126,21-07-2025,8,5.6
D23,14-06-2025,8,5.3
D95,10-11-2025,8,4.6
D42,26-03-2025,8,7.6
D124,26-07-2025,8,4.6
D47,05-06-2025,8,7.2
D5,23-03-2025,8,4
D125,30-10-2025,8,4.6
D13,25-01-2025,8,3.6
D80,18-11-2025,8,4.1
D113,21-10-2025,8,5.8
D143,26-03-2025,8,3.7
D97,04-07-2025,8,7.1
D102,08-07-2025,8,7.4
D130,15-12-2025,8,5.8
D105,29-07-2025,8,4.9
D72,10-06-2025,8,6.4
D78,27-02-2025,8,7
D11,27-01-2025,8,6.7
D56,07-09-2025,8,3.1
D109,23-10-2025,8,6.2
D61,02-05-2025,8,4.1
D23,05-02-2025,8,3.4
D56,16-06-2025,8,6.4
D107,29-05-2025,8,6.7
D149,19-08-2025,8,6.2
D65,18-04-2025,8,4.7
D64,29-07-2025,8,7.4
D89,28-12-2025,8,5.8
D54,15-07-2025,8,5.5
D77,25-10-2025,8,5
D67,12-06-2025,8,6.1
D73,25-07-2025,8,7.6
D137,06-10-2025,8,5
D15,16-08-2025,8,3.9
D52,05-09-2025,8,7.1
D36,04-06-2025,8,5
D4,19-01-2025,8,6.9
D58,20-09-2025,8,5.6
D76,28-05-2025,8,6
D68,07-03-2025,8,7.8
D134,01-10-2025,8,6.9
D68,23-08-2025,8,3.3
D98,09-01-2025,8,5.5
D75,17-01-2025,8,7.7
D24,26-08-2025,8,4.4
D131,06-06-2025,8,4.8
D54,10-11-2025,8,6.6
D77,19-02-2025,8,6.6
D31,23-11-2025,8,3.5
D90,31-01-2025,8,4.2
D132,07-04-2025,8,4.5
D137,05-12-2025,8,7.8
D26,01-03-2025,8,3.3
D127,13-03-2025,8,3
D58,21-08-2025,8,4.6
D120,04-09-2025,8,4.2
D135,02-01-2025,8,4.4
D48,05-11-2025,8,6.3
D117,13-12-2025,8,4.5
D68,13-06-2025,8,4.5
D149,13-03-2025,8,4.7
D13,20-08-2025,8,6.8
D24,08-07-2025,8,5.4
D50,02-07-2025,8,6.5
D138,11-01-2025,8,7.4
D11,22-04-2025,8,7.8
D2,16-06-2025,8,5.3
D45,26-11-2025,8,4.6
D103,11-02-2025,8,4.1
D100,22-12-2025,8,4.2
D6,11-02-2025,8,7.6
D100,10-09-2025,8,6.6
D95,25-09-2025,8,5.9
D64,28-06-2025,8,5.3
D97,28-10-2025,8,3.2
D110,21-03-2025,8,5.3
D13,10-08-2025,8,4.7
D113,23-11-2025,8,5.2
D42,09-04-2025,8,4.2
D104,06-03-2025,8,4.7
D28,16-10-2025,8,6.5
D126,22-11-2025,8,5.3
D132,23-09-2025,8,6.2
D73,08-06-2025,8,3.7
D136,10-10-2025,8,6.8
D41,14-04-2025,8,4.6
D132,09-05-2025,8,7.6
D92,06-04-2025,8,3.3
D94,05-03-2025,8,7.9
D80,19-07-2025,8,5.3
D25,09-10-2025,8,6.9
D27,02-09-2025,8,7.6
D86,07-02-2025,8,3.6
D127,12-03-2025,8,6
D13,23-06-2025,8,4.3
D112,16-10-2025,8,4.9
D63,08-11-2025,8,4.4
D105,27-08-2025,8,5.5
D83,08-08-2025,8,5.6
D105,15-03-2025,8,6.9
D122,03-03-2025,8,3.6
D118,06-03-2025,8,4
D66,19-11-2025,8,5.6
D54,09-08-2025,8,5.1
D100,13-04-2025,8,5.5
D108,12-01-2025,8,5.8
D148,09-12-2025,8,5.4
D71,02-08-2025,8,4.4
D66,19-03-2025,8,4.6
D88,12-03-2025,8,3.8
D124,23-06-2025,8,5.9
D5,05-05-2025,8,5.9
D136,03-06-2025,8,7.7
D98,10-04-2025,8,7.1
D128,14-01-2025,8,6.6
D112,27-01-2025,8,6.3
D29,03-01-2025,8,6.3
D137,14-09-2025,8,7.9
D67,09-06-2025,8,7.1
D49,23-05-2025,8,5.3
D30,10-09-2025,8,6.1
D63,31-10-2025,8,4.4
D124,20-11-2025,8,3
D43,24-05-2025,8,7.2
D41,19-02-2025,8,6.2
D86,08-06-2025,8,6
D27,13-09-2025,8,3.6
D17,05-05-2025,8,7.2
D43,19-07-2025,8,3.7
D133,10-05-2025,8,3.4
D132,15-08-2025,8,6.9
D112,14-05-2025,8,6.2
D5,13-11-2025,8,3.5
D102,26-09-2025,8,3.7
D64,14-11-2025,8,3.2
D124,11-03-2025,8,7.5
D10,25-09-2025,8,3.6
D88,19-02-2025,8,7
